2023-06-21 19:28:07 INFO  TestBase:87 - Finding Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:93 - Found Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:87 - Finding Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:93 - Found Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:87 - Finding Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:93 - Found Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:87 - Finding Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:93 - Found Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:07 INFO  TestBase:87 - Finding Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: div.date-picker-wrapper>select[name='DateOfBirthYear']
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.xpath: .//option[@value = "1993"]
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.xpath: .//option[@value = "1993"]
2023-06-21 19:28:08 INFO  TestBase:105 - Clicked ON: [[[[ChromeDriver: chrome on WINDOWS (4dd510c75ef1cb52d7bc7b3f40068c23)] -> css selector: div.date-picker-wrapper>select[name='DateOfBirthYear']]] -> xpath: .//option[@value = "1993"]]
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Email
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: #Company
2023-06-21 19:28:08 INFO  TestBase:87 - Finding Element: By.cssSelector: input[id='Newsletter']
2023-06-21 19:28:08 INFO  TestBase:93 - Found Element: By.cssSelector: input[id='Newsletter']
